,title,subtitle,link
45,,Plane flies 'Glazers Out' banner over NFL clash as Man Utd fan protest hits the US,https://www.thesun.co.uk/sport/24134867/plane-glazers-out-banner-nfl-man-utd-fan-protest/
46,DAVE KIDD,Evans' Man Utd return isn't as hyped as Ronaldo's but it may be a masterstroke,https://www.thesun.co.uk/sport/24133051/jonny-evans-transfer-man-utd-cristiano-ronaldo/
47,STRIKE PAIR,Kane meets doppelganger at Oktoberfest as he relaxes with Bayern team-mates,https://www.thesun.co.uk/sport/24113570/harry-kane-meets-doppelganger-oktoberfest-bayern-munich/
48,FEELING BLUE,Chelsea icon ‘secretly leaves mentor role’ as heartbroken Blues fans slam club,https://www.thesun.co.uk/sport/football/24133281/chelsea-claude-makelele/
49,POCH WATCH,Ex-Premier League boss seen at Stamford Bridge as pressure mounts on Pochettino,https://www.thesun.co.uk/sport/24119112/premier-league-manager-julen-lopetegui-chelsea-mauricio-pochettino/
50,RED CARD OFFENCE,Jenas issues grovelling apology after 's***house' comment about referee,https://www.thesun.co.uk/sport/24130835/jermaine-jenas-referee-apology/
51,,Ex-Aston Villa CEO joins fans in Unai Emery chant at Chelsea away end,https://www.thesun.co.uk/sport/24124994/aston-villa-unai-emery-chant-stamford-bridge-chelseachristian-purslow/
52,MAN UTD NEWS,"Rashford's £700k car crash latest, Utd 'set to sell Sancho', Rabiot linked",https://www.thesun.co.uk/sport/23823324/man-utd-transfer-news-live-marcus-rashford-car-crash-updates/
53,ARSENAL NEWS,"Gunners 'step up' Toney pursuit, Declan Rice injury LATEST, £60m Ramsdale EXIT",https://www.thesun.co.uk/sport/23686623/arsenal-transfer-news-live-declan-rice-injury-ivan-toney/
54,SLIM PICKINGS,Everton 'could be forced to SELL Jordan Pickford in January transfer',https://www.thesun.co.uk/sport/24111197/everton-jordan-pickford-transfer-premier-league-takeover/
55,WHAT A TRIP,Deja vu as Newcastle defenders soar up rankings after Bramall Lane exhibition,https://www.thesun.co.uk/sport/football/dream-team/24113818/newcastle-defenders-kieran-trippier-fantasy-football-premier-league/
56,RODRI RED,Dream Team's fourth-most popular midfielder suspended - 5 suitable replacements,https://www.thesun.co.uk/sport/football/dream-team/24120284/rodri-red-card-suspension-fantasy-football-transfer-replacements/
57,DILEMMA,Son v Alvarez: Who should Dream Team gaffers select as third striker?,https://www.thesun.co.uk/sport/football/dream-team/24125412/son-heung-min-julian-alvarez-fantasy-football-goals/
58,'A VOID IN OUR HEARTS',Sheffield United pay tribute to Maddy Cusack after tragic death,https://www.thesun.co.uk/sport/24107794/sheffield-united-tribute-maddy-cusack-newcastle-death/
59,SHEAR NERVE,Shearer hits out at ‘f***ing idiot’ as he shares what Sheff Utd fans did to him,https://www.thesun.co.uk/sport/football/24129329/alan-shearer-newcastle-sheff-utd-fans/
60,LOAN RANGER,Ex-Man Utd star who played just once in Prem now slugging it out in League One,https://www.thesun.co.uk/sport/24120227/man-utd-star-league-one-wigan-ben-amos/
61,WORSE TO COME,Chelsea fans fear they will be 'RELEGATED' with horror games lying in wait,https://www.thesun.co.uk/sport/24110149/chelsea-fans-relegated-fixture-list/
62,TO THE MAX,Arsenal fans say 'that's CRAZY' as 13-year-old wonderkid makes debut for U18s,https://www.thesun.co.uk/sport/24122618/arsenal-fans-wonderkid-debut-wilshere-u18s-max-dowman/
63,MONEY MEN,Man Utd set to welcome back £145m worth of talent for Crystal Palace clash,https://www.thesun.co.uk/sport/24120816/man-utd-harry-maguire-mason-mount-crystal-palace-injuries/
64,HELPING HAND,Man Utd officials paid for taxi to help gran get home after Rashford crash,https://www.thesun.co.uk/sport/24113379/man-utd-officials-paid-taxi-gran-marcus-rashford-crash/
65,DINNER DATE,Jack Grealish enjoys date night as he whisks girlfriend out for favourite food,https://www.thesun.co.uk/sport/24108283/jack-grealish-girlfriend-sasha-lamborghini-favourite-food/
66,PLAYING AWAY,Defoe’s wife blasts star's 'lover' who was guest at their £200k wedding,https://www.thesun.co.uk/sport/24112366/jermain-defoe-estranged-wife-lover/
67,LIKE FATHER LIKE SON,"Footie icon's son, 16, signs pro deal - can you guess who his dad is?",https://www.thesun.co.uk/sport/24123479/patrick-kluivert-shane-contract-barcelona/
68,BEERS TO THAT,Harry Kane wears lederhosen and poses with stein of beer at Oktoberfest,https://www.thesun.co.uk/sport/24108679/harry-kane-lederhosen-stein-beer-oktoberfest-bundesliga-record/
69,ROD ONE OUT,Fans discover bizarre stat about James Rodriguez's seventh cup in a row,https://www.thesun.co.uk/sport/24123897/fans-james-rodriguez-bizarre-stat-seventh-cup/
70,DUTCH COURAGE,Wiegman aims for England Women's Nations League win against compatriots,https://www.thesun.co.uk/sport/24132087/wiegman-england-womens-nations-league-netherlands/
71,FEAR TO STAY,Spurs look the real deal without Kane - they can cause Arsenal real problems,https://www.thesun.co.uk/sport/24097758/arsenal-tottenham-troy-deeney-kane-preview/
72,KARREN BRADY,Pogba is a huge talent but never handled fame… now his career could be over,https://www.thesun.co.uk/sport/23980536/paul-pogba-career-karren-brady-juventus/
73,DAVE KIDD,Chelsea took £200m in Brighton assets but Blues win in EFL Cup would be an upset,https://www.thesun.co.uk/sport/24133512/chelsea-brighton-carabao-cup-dave-kidd/
74,SHEAR CLASS,Shearer's glam daughter Hollie sends fans wild as they say 'looking amazing',https://www.thesun.co.uk/sport/24137544/alan-shearer-daughter-hollie-instagram-paris/
75,SEALED WITH A KRIS,Italian sports presenter Kristel Talamonti shows off tan lines in dress,https://www.thesun.co.uk/sport/24101791/kristel-talamonti-italian-sports-presenter/
76,KISS 'N TELL,I’m an ex-Playboy star and World Cup Wag & I’ll snog men or women when drunk,https://www.thesun.co.uk/sport/24099814/playboy-model-cathy-fischer-kiss-mats-hummels/
